#lRMS=0.003538307967 iRMS=0.0001371480321 0
#    lk   ukf_g8v   uks_g8v        fh       fse        fl         fd
#
 4220.0  0.780711  0.011863  0.780711  0.000000  0.000000  0.000000
 4225.0  0.697927  0.048398  0.697927  0.000000  0.000000  0.000000
 4230.0  0.706173  0.021638  0.706173  0.000000  0.000000  0.000000
 4235.0  0.741603  0.024173  0.741603  0.000000  0.000000  0.000000
 4240.0  0.777549  0.012069  0.777549  0.000000  0.000000  0.000000
 4245.0  0.791375  0.012745  0.791375  0.000000  0.000000  0.000000
 4250.0  0.753494  0.017207  0.753494  0.000000  0.000000  0.000000
 4255.0  0.739750  0.019645  0.739750  0.000000  0.000000  0.000000
 4260.0  0.747646  0.021020  0.747646  0.000000  0.000000  0.000000
 4265.0  0.761224  0.030815  0.761224  0.000000  0.000000  0.000000
 4270.0  0.716264  0.015489  0.716264  0.000000  0.000000  0.000000
 4275.0  0.718089  0.022067  0.718089  0.000000  0.000000  0.000000
 4280.0  0.743907  0.010750  0.743907  0.000000  0.000000  0.000000
 4285.0  0.720088  0.017853  0.720088  0.000000  0.000000  0.000000
 4290.0  0.684977  0.018688  0.684977  0.000000  0.000000  0.000000
 4295.0  0.655998  0.014469  0.655998  0.000000  0.000000  0.000000
 4300.0  0.597396  0.027273  0.597396  0.000000  0.000000  0.000000
 4305.0  0.563153  0.037980  0.563153  0.000000  0.000000  0.000000
