#iRMS=3.888022911e-05 0
#    lk   ukf_a7v   uks_a7v        fh        fse
#
 5245.0  1.136118  0.012943  1.136118  0.000000
 5250.0  1.134926  0.013383  1.134926  0.000000
 5255.0  1.129885  0.010751  1.129885  0.000000
 5260.0  1.097721  0.007256  1.097721  0.000000
 5265.0  1.060392  0.001254  1.060392  0.000000
 5270.0  1.054530  0.008059  1.054530  0.000000
 5275.0  1.068600  0.007996  1.068600  0.000000
 5280.0  1.086874  0.007602  1.086874  0.000000
 5285.0  1.098394  0.004858  1.098394  0.000000
 5290.0  1.122889  0.013173  1.122889  0.000000
 5295.0  1.127191  0.021170  1.127191  0.000000
 5300.0  1.116441  0.018633  1.116441  0.000000
 5305.0  1.111755  0.008894  1.111755  0.000000
 5310.0  1.103887  0.013824  1.103887  0.000000
 5315.0  1.088322  0.020532  1.088322  0.000000
 5320.0  1.086597  0.020723  1.086597  0.000000
 5325.0  1.076584  0.014323  1.076584  0.000000
 5330.0  1.066196  0.009295  1.066196  0.000000
 5335.0  1.073331  0.007602  1.073331  0.000000
 5340.0  1.074001  0.007770  1.074001  0.000000
 5345.0  1.088525  0.012635  1.088525  0.000000
 5350.0  1.095787  0.012821  1.095787  0.000000
 5355.0  1.104722  0.019877  1.104722  0.000000
 5360.0  1.089702  0.015759  1.089702  0.000000
 5365.0  1.063852  0.012663  1.063852  0.000000
 5370.0  1.056177  0.009985  1.056177  0.000000
 5375.0  1.072395  0.010142  1.072395  0.000000
 5380.0  1.071843  0.008138  1.071843  0.000000
 5385.0  1.066231  0.008432  1.066231  0.000000
 5390.0  1.074251  0.007668  1.074251  0.000000
 5395.0  1.065315  0.009478  1.065315  0.000000
 5400.0  1.049664  0.006340  1.049664  0.000000
 5405.0  1.039522  0.004960  1.039522  0.000000
 5410.0  1.044646  0.006407  1.044646  0.000000
 5415.0  1.053004  0.009870  1.053004  0.000000
 5420.0  1.054703  0.011059  1.054703  0.000000
 5425.0  1.046403  0.011340  1.046403  0.000000
 5430.0  1.044111  0.011397  1.044111  0.000000
 5435.0  1.050662  0.012815  1.050662  0.000000
 5440.0  1.060160  0.018257  1.060160  0.000000
 5445.0  1.047333  0.010014  1.047333  0.000000
 5450.0  1.040280  0.009761  1.040280  0.000000
 5455.0  1.040264  0.006681  1.040264  0.000000
 5460.0  1.040443  0.000655  1.040443  0.000000
 5465.0  1.037571  0.000655  1.037571  0.000000
 5470.0  1.043913  0.006616  1.043913  0.000000
 5475.0  1.030476  0.005389  1.030476  0.000000
 5480.0  1.024701  0.001196  1.024701  0.000000
 5485.0  1.035333  0.002173  1.035333  0.000000
 5490.0  1.036147  0.005597  1.036147  0.000000
 5495.0  1.040520  0.006562  1.040520  0.000000
 5500.0  1.032854  0.007373  1.032854  0.000000
 5505.0  1.019334  0.003568  1.019334  0.000000
 5510.0  1.017868  0.002332  1.017868  0.000000
 5515.0  1.031046  0.003949  1.031046  0.000000
